No.,Name,Price,24H-Change,24H-Volume,Market-cap
0,Bitcoin,"$16,968.60",-0.02%,$325.08 B,$14.06 B
1,Ethereum,"$1,229.61",-0.28%,$148.82 B,$3.73 B
2,Tether,$1.02,-0.40%,$66.26 B,$17.08 B
3,USD Coin,$1.00,+0.00%,$44.28 B,$1.78 B
4,BNB,$249.78,-1.20%,$39.4 B,$462.24 M
5,Binance USD,$1.00,+0.09%,$18.07 B,$3.31 B
6,XRP,$0.3501,+0.51%,$17.38 B,$617.83 M
7,Dogecoin,$0.07488,+0.64%,$9.79 B,$253.82 M
8,Cardano,$0.2566,-0.62%,$8.72 B,$148.05 M
9,Polygon,$0.8022,-0.98%,$6.91 B,$166.76 M
10,Dai,$1.01,-0.21%,$5.87 B,$122.77 M
11,Wrapped TRON,$0.05528,+0.63%,$5.62 B,$2.43 M
12,Polkadot,$4.51,-2.05%,$5.11 B,$112.47 M
13,TRON,$0.05534,-0.21%,$5.09 B,$135.82 M
14,Litecoin,$67.32,+1.31%,$4.77 B,$311.98 M
15,Shiba Inu,$0.000008479,-0.22%,$4.56 B,$72.45 M
16,Solana,$12.67,-0.30%,$4.44 B,$139.14 M
17,HEX,$0.02378,-3.44%,$4.12 B,$2.76 M
18,Lido stETH,"$1,167.53",-0.29%,$4.07 B,$7.35 M
19,Uniswap,$5.41,-0.13%,$4.05 B,$40.09 M
20,Avalanche,$11.89,-1.55%,$3.64 B,$91.22 M
21,UNUS SED LEO,$3.75,+1.27%,$3.58 B,$2.26 M
22,Wrapped Bitcoin,"$17,056.65",+0.04%,$3.1 B,$59.11 M
23,Toncoin,$2.52,+0.68%,$3.08 B,$49.65 M
24,Chainlink,$6.09,+0.39%,$3.05 B,$133.78 M
25,Monero,$147.12,-0.78%,$2.68 B,$52.79 M
26,Cosmos,$9.05,-1.15%,$2.55 B,$77.94 M
27,Ethereum Classic,$16.75,-0.80%,$2.28 B,$148.31 M
28,Stellar,$0.07612,-1.00%,$1.95 B,$34 M
29,Bitcoin Cash,$102.76,-0.39%,$1.95 B,$92.76 M
30,Cronos,$0.05829,+0.07%,$1.45 B,$10.15 M
31,OKB,$22.81,+1.13%,$1.37 B,$18.23 M
32,ApeCoin,$3.69,+1.71%,$1.31 B,$100.09 M
33,Quant,$106.34,-1.22%,$1.26 B,$19.79 M
34,Algorand,$0.1732,-5.40%,$1.22 B,$60.66 M
35,VeChain,$0.01679,+0.43%,$1.18 B,$23.61 M
36,NEAR Protocol,$1.34,-0.61%,$1.11 B,$43.99 M
37,Hedera,$0.04539,+0.58%,$1.08 B,$11.96 M
38,Filecoin,$3.01,+0.45%,$1.04 B,$83.67 M
39,Internet Computer,$3.77,+1.33%,$1.03 B,$13.3 M
40,Frax,$0.9997,-0.02%,$1.02 B,$2.98 M
41,EOS,$0.9012,-0.70%,$954.73 M,$70.97 M
42,Pax Dollar,$1.00,-0.40%,$945.67 M,"$983,010"
43,Wrapped BNB,$246.56,-0.86%,$921.06 M,$47.93 M
44,Bitcoin BEP2,"$16,844.19",-0.08%,$900.63 M,$1.96 M
45,Bitcoin SV,$44.92,-0.98%,$865 M,$21.43 M
46,Huobi Token,$5.41,-0.19%,$829.53 M,$10.89 M
47,Elrond,$35.23,-0.96%,$829.89 M,$17.51 M
48,Luna Classic,$0.0001508,+4.52%,$818.1 M,$82.39 M
49,Flow,$0.779,-0.73%,$796.51 M,$12.6 M
